Game_Index,Home_Team,URL,HT_Pts,Opp_Pts,FG,FGA,FG_Pct,Three_Pt,Three_Pt_Attempts,Three_Pt_Pct,Free_Throws,Free_Throw_Attempts,Free_Throw_Pct,Offensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,FG_Opp,FGA_Opp,FG_Pct_Opp,Three_Pt_Opp,Three_Pt_Attempts_Opp,Three_Pt_Pct_Opp,Free_Throws_Opp,Free_Throw_Attempts_Opp,Free_Throw_Pct_Opp,Offensive_Rebounds_Opp,Total_Rebounds_Opp,Assists_Opp,Steals_Opp,Blocks_Opp,Turnovers_Opp,Personal_Fouls_Opp,Result
136,akron,alabama-state,86,54,34,60,0.567,12,32,0.375,6,13,0.462,11,36,20,6,6,16,17,18,55,0.327,7,23,0.304,11,15,0.733,10,20,11,4,0,15,16,W
146,alabama-am,alabama-state,54,72,22,50,0.44,6,17,0.353,4,9,0.444,7,25,8,7,0,20,16,29,60,0.483,4,21,0.19,10,15,0.667,13,35,11,12,5,13,12,L
153,alabama-am,alabama-state,62,68,25,58,0.431,7,18,0.389,5,9,0.556,7,32,12,6,4,11,20,20,51,0.392,11,20,0.55,17,24,0.708,8,32,13,9,4,11,11,L
218,alabama-birmingham,alcorn-state,76,49,29,48,0.604,7,18,0.389,11,15,0.733,4,29,15,6,2,10,15,16,50,0.32,6,22,0.273,11,13,0.846,5,19,7,5,1,12,12,W
226,alabama-state,alcorn-state,74,59,28,57,0.491,7,22,0.318,11,16,0.688,8,30,12,11,4,13,17,19,56,0.339,5,22,0.227,16,17,0.941,10,28,8,7,3,16,16,W
233,alabama-state,alcorn-state,69,74,21,61,0.344,9,30,0.3,18,24,0.75,10,32,13,5,0,10,19,29,60,0.483,4,20,0.2,12,21,0.571,12,38,17,8,5,16,23,L
234,alabama-am,alcorn-state,55,61,21,50,0.42,2,13,0.154,11,15,0.733,7,25,9,11,3,11,18,21,49,0.429,6,14,0.429,13,24,0.542,17,38,10,8,3,17,13,L
272,alabama,appalachian-state,81,73,25,65,0.385,5,16,0.313,26,43,0.605,21,44,7,9,4,9,23,27,55,0.491,6,21,0.286,13,16,0.813,4,22,16,6,5,15,23,W
322,alabama,arizona,76,73,26,56,0.464,8,19,0.421,16,28,0.571,10,39,11,5,4,15,14,29,70,0.414,9,24,0.375,6,9,0.667,11,35,10,6,4,11,19,W
334,arizona-state,arizona,95,88,30,54,0.556,9,19,0.474,26,35,0.743,10,37,18,5,4,13,23,27,67,0.403,14,28,0.5,20,27,0.741,14,31,15,8,0,9,26,W
378,alabama-state,arkansas-pine-bluff,71,82,23,52,0.442,8,17,0.471,17,28,0.607,7,24,10,6,3,12,25,27,47,0.574,7,12,0.583,21,34,0.618,8,36,13,7,3,17,21,L
379,alabama-am,arkansas-pine-bluff,49,50,20,51,0.392,0,9,0,9,16,0.563,8,34,12,7,3,13,18,17,48,0.354,6,25,0.24,10,22,0.455,7,31,16,10,6,12,17,L
386,alabama-state,arkansas-pine-bluff,69,75,22,57,0.386,4,18,0.222,21,30,0.7,16,36,7,8,2,15,20,24,42,0.571,6,11,0.545,21,31,0.677,3,25,8,8,4,18,22,L
387,alabama-am,arkansas-pine-bluff,60,69,21,47,0.447,6,15,0.4,12,21,0.571,6,25,8,7,0,13,24,21,41,0.512,3,9,0.333,24,30,0.8,5,25,11,8,5,14,18,L
389,alcorn-state,arkansas-pine-bluff,62,73,23,53,0.434,5,18,0.278,11,14,0.786,8,21,4,7,5,12,16,24,50,0.48,5,15,0.333,20,22,0.909,11,31,15,5,3,13,14,L
392,abilene-christian,arkansas-state,94,73,31,55,0.564,8,14,0.571,24,31,0.774,11,38,17,8,0,18,27,26,59,0.441,6,17,0.353,15,24,0.625,9,26,13,6,2,16,23,W
410,appalachian-state,arkansas-state,81,82,24,58,0.414,11,28,0.393,22,30,0.733,7,34,15,2,1,15,19,31,70,0.443,6,20,0.3,14,19,0.737,13,41,15,11,5,12,26,L
412,arkansas-little-rock,arkansas-state,83,84,32,69,0.464,9,22,0.409,10,15,0.667,13,32,16,11,3,15,23,29,57,0.509,10,20,0.5,16,26,0.615,12,36,11,3,3,20,20,L
417,arkansas-little-rock,arkansas-state,65,72,23,55,0.418,5,14,0.357,14,19,0.737,9,28,8,5,2,15,26,20,49,0.408,5,20,0.25,27,37,0.73,9,35,12,6,4,12,18,L
473,air-force,army,61,66,21,48,0.438,8,20,0.4,11,24,0.458,5,39,14,4,4,19,18,27,61,0.443,8,20,0.4,4,8,0.5,4,23,12,10,0,11,16,L
478,arizona,auburn,57,73,20,47,0.426,10,25,0.4,7,9,0.778,5,21,9,3,0,19,22,27,50,0.54,9,26,0.346,10,15,0.667,8,28,10,4,2,14,19,L
482,alabama-birmingham,auburn,71,75,28,63,0.444,9,29,0.31,6,11,0.545,11,35,11,8,3,11,25,22,57,0.386,4,22,0.182,27,34,0.794,13,38,10,2,7,10,16,L
