Game_Index,Home_Team,URL,HT_Pts,Opp_Pts,FG,FGA,FG_Pct,Three_Pt,Three_Pt_Attempts,Three_Pt_Pct,Free_Throws,Free_Throw_Attempts,Free_Throw_Pct,Offensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls,FG_Opp,FGA_Opp,FG_Pct_Opp,Three_Pt_Opp,Three_Pt_Attempts_Opp,Three_Pt_Pct_Opp,Free_Throws_Opp,Free_Throw_Attempts_Opp,Free_Throw_Pct_Opp,Offensive_Rebounds_Opp,Total_Rebounds_Opp,Assists_Opp,Steals_Opp,Blocks_Opp,Turnovers_Opp,Personal_Fouls_Opp,Result
713,boston-university,albany-ny,71,61,28,55,0.509,10,22,0.455,5,11,0.455,11,38,18,3,4,14,21,20,59,0.339,5,20,0.25,16,22,0.727,12,31,14,7,3,8,13,W
723,boston-university,american,74,86,29,53,0.547,4,14,0.286,12,18,0.667,8,24,15,7,1,15,21,33,54,0.611,5,17,0.294,15,20,0.75,5,24,12,7,3,14,20,L
725,boston-university,army,82,86,33,62,0.532,7,18,0.389,9,12,0.75,5,34,15,2,5,13,20,31,62,0.5,11,26,0.423,13,22,0.591,5,28,13,5,3,9,15,L
729,boston-university,american,66,70,27,53,0.509,3,10,0.3,9,15,0.6,10,30,6,6,2,18,15,26,50,0.52,6,17,0.353,12,15,0.8,3,19,15,12,5,11,17,L
735,boston-university,army,61,71,25,57,0.439,6,21,0.286,5,10,0.5,5,24,10,8,3,12,15,26,49,0.531,7,18,0.389,12,15,0.8,3,31,16,5,0,12,11,L
761,bowling-green-state,central-michigan,79,72,24,53,0.453,8,20,0.4,23,28,0.821,7,32,10,10,6,12,15,27,56,0.482,5,16,0.313,19,25,0.76,6,34,6,8,3,16,25,W
763,bowling-green-state,akron,73,69,27,66,0.409,8,25,0.32,11,16,0.688,9,44,10,5,2,12,15,26,70,0.371,10,32,0.313,7,10,0.7,9,39,13,4,3,10,17,W
798,brown,army,86,66,27,54,0.5,9,22,0.409,23,32,0.719,11,46,16,8,6,18,17,26,73,0.356,9,37,0.243,5,9,0.556,10,29,16,7,0,11,28,W
822,bryant,brown,60,84,21,72,0.292,5,24,0.208,13,17,0.765,16,36,5,11,6,10,20,31,56,0.554,7,20,0.35,15,21,0.714,8,42,15,8,10,17,15,L
858,bucknell,boston-university,80,87,31,58,0.534,8,22,0.364,10,15,0.667,6,29,17,4,6,11,20,32,67,0.478,7,19,0.368,16,18,0.889,12,35,17,9,2,9,15,L
860,bucknell,american,55,54,20,51,0.392,5,19,0.263,10,18,0.556,4,34,12,3,5,13,16,21,59,0.356,4,17,0.235,8,14,0.571,4,30,11,9,7,11,16,W
864,bucknell,american,68,76,21,63,0.333,8,27,0.296,18,25,0.72,10,33,14,2,2,8,28,20,41,0.488,4,14,0.286,32,45,0.711,3,35,10,4,4,12,23,L
868,bucknell,boston-university,82,76,29,60,0.483,10,27,0.37,14,18,0.778,9,37,20,6,5,13,17,27,67,0.403,10,26,0.385,12,18,0.667,5,24,16,9,2,9,19,W
892,buffalo,ball-state,83,59,32,74,0.432,7,31,0.226,12,24,0.5,15,50,17,7,3,8,19,21,65,0.323,2,23,0.087,15,22,0.682,14,47,4,6,3,18,22,W
895,buffalo,akron,76,70,24,52,0.462,7,24,0.292,21,26,0.808,9,36,6,7,1,18,15,29,65,0.446,8,27,0.296,4,7,0.571,8,26,13,9,3,14,20,W
941,california,arizona,65,87,20,58,0.345,8,23,0.348,17,24,0.708,10,23,7,5,1,11,17,32,57,0.561,8,19,0.421,15,17,0.882,7,33,15,3,7,12,20,L
951,california,arizona,51,76,17,56,0.304,6,26,0.231,11,16,0.688,9,29,7,8,4,12,20,27,55,0.491,11,31,0.355,11,17,0.647,6,34,21,6,2,11,16,L
952,california,arizona-state,59,69,20,54,0.37,9,20,0.45,10,12,0.833,9,29,11,6,5,14,16,23,55,0.418,7,21,0.333,16,21,0.762,11,34,12,7,2,10,12,L
962,california-davis,arizona,68,70,26,51,0.51,4,11,0.364,12,20,0.6,5,25,11,3,4,8,24,24,51,0.471,6,18,0.333,16,25,0.64,8,28,10,1,1,8,21,L
988,california-irvine,butler,54,71,18,51,0.353,2,17,0.118,16,21,0.762,8,28,4,7,3,14,20,21,51,0.412,9,17,0.529,20,23,0.87,6,31,10,3,3,13,20,L
991,california-irvine,california-davis,71,69,23,58,0.397,4,24,0.167,21,34,0.618,8,38,12,7,5,11,26,25,61,0.41,5,16,0.313,14,25,0.56,6,34,10,3,2,12,28,W
1012,ucla,belmont,72,74,26,61,0.426,8,28,0.286,12,28,0.429,12,42,12,5,5,13,15,27,68,0.397,11,32,0.344,9,14,0.643,11,41,19,6,3,11,20,L
1017,ucla,california,98,83,34,64,0.531,9,23,0.391,21,30,0.7,12,41,18,10,3,22,19,29,69,0.42,4,20,0.2,21,25,0.84,11,33,9,17,4,18,25,W
1027,ucla,california,75,67,23,59,0.39,10,29,0.345,19,30,0.633,12,43,14,3,5,19,15,23,68,0.338,6,22,0.273,15,19,0.789,10,31,13,11,4,13,23,W
1037,cal-poly,bethune-cookman,80,78,29,63,0.46,7,28,0.25,15,22,0.682,5,29,11,7,9,7,15,31,74,0.419,4,18,0.222,12,17,0.706,16,46,12,3,2,14,19,W
1038,cal-poly,california,66,67,22,52,0.423,10,27,0.37,12,15,0.8,8,30,10,2,2,15,18,21,48,0.438,5,17,0.294,20,24,0.833,7,28,7,7,3,10,19,L
1050,cal-poly,california-davis,53,63,22,55,0.4,5,19,0.263,4,5,0.8,6,27,10,8,5,14,15,24,46,0.522,5,15,0.333,10,14,0.714,2,25,12,2,8,15,11,L
1053,cal-poly,california-irvine,47,74,18,61,0.295,2,16,0.125,9,13,0.692,11,28,5,2,0,9,16,29,52,0.558,6,15,0.4,10,14,0.714,6,37,12,5,2,10,18,L
1060,california-riverside,abilene-christian,48,60,18,46,0.391,3,14,0.214,9,15,0.6,9,29,6,2,2,15,20,22,53,0.415,4,10,0.4,12,19,0.632,14,32,10,6,1,6,15,L
