Home_Team,Opponent,URL,HT_Pts,Opp_Pts,FG,FGA,FG_Pct,Three_Pt,Three_Pt_Attempts,Three_Pt_Pct,Free_Throws,Free_Throw_Attempts,Free_Throw_Pct,Offensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Personal_Fouls
arkansas-state,Texas State,texas-state,74,84,25,58,0.431,5,17,0.294,19,25,0.76,10,33,10,5,7,9,29
arkansas-state,Texas-Arlington,texas-arlington,83,79,27,52,0.519,11,21,0.524,18,25,0.72,3,26,16,8,8,18,19
arkansas-state,Little Rock,arkansas-little-rock,72,65,20,49,0.408,5,20,0.25,27,37,0.73,9,35,12,6,4,12,18
arkansas,Texas,texas,71,73,25,61,0.41,8,22,0.364,13,24,0.542,10,41,8,6,5,18,23
arkansas,UC-Davis,california-davis,81,58,23,49,0.469,8,20,0.4,27,41,0.659,5,30,13,10,6,15,21
arkansas,Indiana,indiana,73,72,28,64,0.438,6,23,0.261,11,19,0.579,6,28,20,8,7,12,16
arkansas,Montana State,montana-state,90,68,37,70,0.529,11,35,0.314,5,10,0.5,9,29,29,13,4,14,25
arkansas,Texas-Arlington,texas-arlington,78,60,21,55,0.382,2,16,0.125,34,46,0.739,10,38,15,7,4,16,25
arkansas,Florida International,florida-international,121,89,42,69,0.609,13,25,0.52,24,39,0.615,8,45,26,10,11,14,28
arkansas,Colorado State,colorado-state,98,74,38,73,0.521,14,28,0.5,8,14,0.571,14,45,28,8,6,7,22
arkansas,Western Kentucky,western-kentucky,77,78,30,69,0.435,8,25,0.32,9,16,0.563,7,31,10,6,4,7,13
arkansas,UTSA,texas-san-antonio,79,67,23,55,0.418,6,16,0.375,27,34,0.794,8,34,17,7,8,15,20
arkansas,Georgia Tech,georgia-tech,65,69,24,63,0.381,10,32,0.313,7,9,0.778,12,30,16,7,6,16,17
arkansas,Texas State,texas-state,73,70,21,47,0.447,3,11,0.273,28,40,0.7,9,33,12,8,5,15,20
arkansas,Austin Peay,austin-peay,76,65,27,62,0.435,7,17,0.412,15,24,0.625,11,27,21,14,5,11,21
arkansas,Texas A&M,texas-am,73,71,26,70,0.371,10,33,0.303,11,22,0.5,12,39,16,3,3,8,22
arkansas,Florida,florida,51,57,15,50,0.3,6,26,0.231,15,26,0.577,7,35,10,5,5,15,20
arkansas,LSU,louisiana-state,88,94,34,66,0.515,3,16,0.188,17,28,0.607,9,28,21,9,5,16,24
arkansas,Tennessee,tennessee,87,106,32,67,0.478,10,26,0.385,13,22,0.591,15,31,16,9,1,18,27
arkansas,Ole Miss,mississippi,67,84,22,55,0.4,6,23,0.261,17,21,0.81,9,30,14,6,3,17,15
arkansas,Missouri,missouri,72,60,26,59,0.441,10,25,0.4,10,16,0.625,8,29,18,13,0,13,20
arkansas,Texas Tech,texas-tech,64,67,21,48,0.438,4,18,0.222,18,26,0.692,3,13,6,8,1,13,14
arkansas,Georgia,georgia,70,60,25,61,0.41,5,21,0.238,15,22,0.682,4,29,14,6,14,4,22
arkansas,LSU,louisiana-state,90,89,35,60,0.583,13,24,0.542,7,11,0.636,4,20,18,7,3,16,29
arkansas,Vanderbilt,vanderbilt,69,66,23,51,0.451,8,19,0.421,15,20,0.75,6,26,18,4,2,10,17
arkansas,South Carolina,south-carolina,65,77,22,57,0.386,6,22,0.273,15,20,0.75,8,27,11,13,4,14,18
arkansas,Missouri,missouri,78,79,28,60,0.467,5,20,0.25,17,23,0.739,9,25,9,5,3,12,17
arkansas,Mississippi State,mississippi-state,67,77,22,52,0.423,7,20,0.35,16,21,0.762,8,27,16,7,5,20,23
arkansas,Auburn,auburn,56,79,19,58,0.328,4,26,0.154,14,24,0.583,10,30,9,10,3,14,13
arkansas,Texas A&M,texas-am,80,87,30,63,0.476,5,22,0.227,15,21,0.714,10,24,13,5,6,12,24
army,Marist,marist,73,69,22,51,0.431,9,31,0.29,20,29,0.69,6,28,14,5,1,6,22
